Vam,Vbm,Vcm,Iam,Ibm,Icm,Vap,Vbp,Vcp,Iap,Ibp,Icp,Fault,Location
0.013708595,0.875140253,0.882551284,0.697472905,0.170395223,0.174996367,-80.87540649,-122.3611186,118.1913099,-80.65831606,-34.06372844,-151.3183549,1,0
0.013708896,0.875847423,0.882830745,0.697484631,0.170394786,0.174992713,-80.87685965,-122.3659245,118.1476772,-80.65947408,-34.06938173,-151.3184382,1,0
0.013709154,0.876476783,0.883058334,0.69749615,0.170399576,0.175032227,-80.87843881,-122.3715566,118.1078724,-80.66091816,-34.06023689,-151.3133885,1,0
0.013709313,0.876527513,0.8830944,0.697505566,0.170409518,0.17509287,-80.87992978,-122.3700023,118.1046196,-80.66260898,-34.04424933,-151.3071476,1,0
0.013709385,0.876101091,0.883017019,0.697512494,0.170417015,0.175139039,-80.88128381,-122.3592509,118.1338163,-80.6644611,-34.03315054,-151.3029588,1,0
0.013709267,0.875767582,0.882953594,0.697509481,0.170418661,0.175159013,-80.88187863,-122.3520401,118.1584385,-80.66555034,-34.02909901,-151.3023685,1,0
0.013708779,0.875892801,0.882929488,0.697486636,0.170426615,0.175174623,-80.87877408,-122.36272,118.1532243,-80.66275862,-34.02331096,-151.3076267,1,0
0.013709843,0.876264541,0.882926954,0.697541131,0.170421262,0.175195744,-80.88816232,-122.3670911,118.1193251,-80.67239433,-34.02599563,-151.2953259,1,0
0.013709843,0.876264541,0.882926954,0.697541131,0.170421262,0.175195744,-80.88816232,-122.3670911,118.1193251,-80.67239433,-34.02599563,-151.2953259,1,0
0.013709853,0.876613007,0.882903762,0.697542194,0.170438748,0.175233563,-80.88863042,-122.3818291,118.0932412,-80.67303667,-34.01618483,-151.2961715,1,0
0.013709979,0.87681533,0.882883013,0.697548802,0.170450931,0.175264333,-80.89077923,-122.3894588,118.0770178,-80.67528478,-34.00915169,-151.2950653,1,0
0.013709716,0.876951754,0.882868716,0.697535784,0.170484216,0.175310404,-80.88635802,-122.3995107,118.0688961,-80.67091626,-33.99455456,-151.3022684,1,0
